Service Name*	Category	Description	Units	Primary Image Link	Additional Image Link
GFC — Growth Factor Concentrate	Hair Treatments	The upgraded version of PRP — a small blood sample is taken, growth factors are concentrated using a special process, making the final scalp injection far more powerful. More growth factors = faster, denser, better hair regrowth. Benefits: Stronger & faster hair regrowth than standard PRP | Thickens existing thin hair strands | Reduces hair fall significantly within weeks | 100% natural — uses your own blood, no chemicals. Sessions needed: 4 sessions, 1 month apart; then 1 maintenance session every 6 months.	4 Sessions	NA	NA
PRP — Platelet Rich Plasma	Hair Treatments	Uses the healing power already in your own blood. A small amount is drawn, spun to separate growth-rich platelets, and injected into the scalp to wake up dormant hair follicles and promote new, healthy hair growth — completely naturally. Benefits: Reduces active hair fall within 2–3 sessions | Reactivates dormant hair follicles | Promotes thicker, healthier new hair growth | Natural treatment — no drugs, no side effects. Sessions needed: 6 sessions, spaced 2–4 weeks apart; then maintenance every 3–6 months.	6 Sessions	NA	NA
Mesotherapy with Exosomes	Hair Treatments	A powerful cocktail of vitamins, minerals, and exosome repair molecules is delivered directly into the scalp using micro-injections — like a nutrition drip for your hair roots — feeding and repairing each follicle from inside. Benefits: Directly nourishes weak & damaged hair follicles | Stimulates new hair growth from the root | Improves overall hair thickness & quality | Repairs follicle damage from stress, pollution, or nutritional gaps. Sessions needed: 6–8 sessions, spaced 2–3 weeks apart.	6–8 Sessions	NA	NA
Hair Regrowth & Hair Fall Treatment	Hair Treatments	Hair fall has many causes — stress, hormones, nutritional gaps, thyroid, or genetics. Your doctor will first identify the root cause, then create a completely customised treatment plan with in-clinic sessions, medications, and lifestyle advice for lasting results. Benefits: Identifies & treats the actual root cause of hair fall | Customised plan based on your hair concern & lifestyle | Combines in-clinic treatments with home care | Prevents further hair thinning and balding. Sessions needed: Typically 6–10 sessions; your doctor will advise based on concern.	6–10 Sessions	NA	NA
Laser Hair Reduction	Laser Treatments	FDA-approved laser energy targets the root of each hair follicle and permanently weakens its ability to regrow. Over a few sessions, you'll see dramatically less hair — and eventually, barely any at all. Covers face, underarms, legs, bikini area, back, and more. Benefits: Permanent hair reduction — up to 90% reduction in hair growth | Works on multiple body areas | Much smoother skin vs waxing or shaving | Safe, FDA-approved technology performed by trained doctors. Sessions needed: 6–8 sessions, spaced 4–6 weeks apart; touch-up once a year if needed.	6–8 Sessions	NA	NA
Laser Facial	Laser Treatments	Controlled light energy targets the deeper layers of skin — boosting collagen, reducing pigmentation, and tightening pores — without touching the surface. Precise, effective, and gives a noticeably cleaner, more even, and radiant complexion. Benefits: Reduces pigmentation, sun damage & uneven tone | Tightens pores & improves skin texture | Boosts collagen for firmer, younger-looking skin | Safe for most skin types with minimal downtime. Sessions needed: 4–6 sessions, spaced 3–4 weeks apart.	4–6 Sessions	NA	NA
Laser Tattoo Removal	Laser Treatments	High-intensity laser pulses break down the ink particles underneath your skin. Your body then naturally flushes them out over a few weeks. Each session fades the tattoo further — until it's barely visible or completely gone — without damaging the surrounding skin. Benefits: Gradually & safely fades and removes unwanted tattoos | Works on most tattoo colours & skin tones | No scarring when done correctly by a trained doctor | You control how much you want removed. Sessions needed: 6–12 sessions depending on tattoo size, colour, and age; spaced 6–8 weeks apart.	6–12 Sessions	NA	NA
Birthmark Removal	Laser Treatments	Advanced laser treatments safely lighten or remove many types of birthmarks. The laser precisely targets the pigment without harming the surrounding skin. Treatment is customised based on your birthmark's colour, size, and depth. Benefits: Safely lightens or removes unwanted birthmarks | Customised based on birthmark type & depth | Minimal damage to surrounding healthy skin | Visible fading after each session. Sessions needed: 4–8 sessions depending on birthmark type; doctor assessment required first.	4–8 Sessions	NA	NA
Mole, Wart & Skin Tag Removal	Other Treatments	Quick and safe removal of unwanted moles, warts, and skin tags using laser or minor procedures under proper medical supervision. The area heals cleanly with minimal to no scarring. Benefits: Quick procedure — most done in a single 15–30 min session | Clean removal with minimal scarring | Medically supervised — ensures it is safe to remove | Immediate visible results. Sessions needed: Usually 1 session; larger or multiple growths may need 2–3 sessions.	1–3 Sessions	NA	NA
Earlobe Repair	Other Treatments	Doctor-performed procedure that restores torn, stretched, or elongated earlobes to a natural, neat shape. Once fully healed, you can even get re-pierced if you wish. Benefits: Repairs torn, stretched, or split earlobes | Natural-looking result with minimal scarring | Quick outpatient procedure — done in under an hour | Can be re-pierced after full healing. Sessions needed: Single session; follow-up check after 1–2 weeks.	1 Session	NA	NA
IV Glutathione Drips	Other Treatments	Glutathione — your body's most powerful natural antioxidant — is given through an IV drip, absorbing directly into the bloodstream for far better effect than oral tablets. Fights free radicals, brightens skin, and detoxifies from inside. Also available as custom health drips and weight-loss drips. Benefits: Visibly brightens & evens skin tone from within | Detoxifies the body & boosts immunity | Boosts energy levels & reduces fatigue | Also available as health drips & weight-loss support drips | Faster & more effective than oral supplements. Sessions needed: 6–10 sessions for skin brightening, 1–2 times per week; monthly maintenance thereafter.	6–10 Sessions	NA	NA
